Cost Type,Date,Cost Price,Total Cost Price,Index
"סופר קופיקס בע""מ - ת",2024-12-04 00:00:00,2.9,,1
"סופר קופיקס בע""מ - ת",2024-12-08 00:00:00,2.9,,2
"סופר קופיקס בע""מ - ת",2024-12-11 00:00:00,2.9,,3
"סופר קופיקס בע""מ - ת",2024-12-12 00:00:00,12.3,,4
"סופר קופיקס בע""מ - ת",2024-12-19 00:00:00,4.66,,5
"סופר קופיקס בע""מ - ת",2024-12-30 00:00:00,6.13,,6
"סופר קופיקס בע""מ - ת",2025-01-02 00:00:00,6.62,,7
"סופר קופיקס בע""מ - ת",2025-01-07 00:00:00,21.2,,8
פיס מרכז - לשם המזל,2024-12-09 00:00:00,6.0,,9
פיס מרכז - לשם המזל,2025-01-02 00:00:00,12.0,,10
פיס מרכז - לשם המזל,2025-01-06 00:00:00,12.0,,11
ריבאר נט,2024-12-09 00:00:00,18.0,,12
מעוף שיכון ודיור,2024-12-12 00:00:00,50.0,,13
פז אפליקצית-YELLOW,2024-12-13 00:00:00,273.93,,14
פז אפליקצית-YELLOW,2024-12-22 00:00:00,240.82,,15
פז אפליקצית-YELLOW,2024-12-27 00:00:00,265.82,,16
פלאפל חביב,2024-12-13 00:00:00,12.0,,17
פיצה טוביה,2024-12-14 00:00:00,44.0,,18
מינימרקט שלי,2024-12-15 00:00:00,6.0,,19
חשבון לשרותי סלקום,2024-12-16 00:00:00,25.13,,20
HOT,2024-12-16 00:00:00,113.57,,21
NEXT TV BY HOT,2024-12-16 00:00:00,21.72,,22
פיצה אש,2024-12-17 00:00:00,17.0,,23
REBRAB EHT DIVAD,2024-12-17 00:00:00,80.0,,24
שופרסל דיל יכין,2024-12-18 00:00:00,4.9,,25
אניפט - חנות חיות,2024-12-18 00:00:00,32.9,,26
פלפאל 4 טעמים,2024-12-18 00:00:00,28.0,,27
פלפאל 4 טעמים,2024-12-23 00:00:00,28.0,,28
מרקט אקספרס,2024-12-18 00:00:00,33.8,,29
קיי אס פי מחשבים החש,2024-12-19 00:00:00,85.0,,30
העברה בBIT,2024-12-20 00:00:00,1000.0,,31
העברה בBIT,2024-12-22 00:00:00,3600.0,,32
דרך ארץ הוראת קבע,2024-12-20 00:00:00,29.55,,33
דרימרי בייקרי קפה,2024-12-20 00:00:00,24.0,,34
קניון העיר תל אביב,2024-12-22 00:00:00,30.0,,35
אייס סינרמה תל אביב-,2024-12-22 00:00:00,32.44,34.15,36
אורמה,2024-12-23 00:00:00,12.0,,37
קפה קפה - מחלף נתניה,2024-12-24 00:00:00,9.0,,38
קפה קפה - מחלף נתניה,2025-01-05 00:00:00,29.0,,39
חשמל בהוראת קבע דן,2024-12-25 00:00:00,481.32,,40
מחסני השוק גבעת שמוא,2024-12-25 00:00:00,43.15,,41
מחסני השוק גבעת שמוא,2024-12-25 00:00:00,85.16,,42
