Cost Type,Date,Cost Price,Total Cost Price,Index
אגאדיר ב.ס.ר בני ברק,2024-12-01 00:00:00,15.0,,1
חבר מסעדות וא' בוקר,2024-12-02 00:00:00,75.0,,2
חבר מסעדות וא' בוקר,2024-12-25 00:00:00,8.0,,3
חבר מסעדות וא' בוקר,2024-12-25 00:00:00,8.0,,4
חבר מסעדות וא' בוקר,2024-12-25 00:00:00,8.0,,5
חבר מסעדות וא' בוקר,2024-12-25 00:00:00,8.0,,6
חבר מסעדות וא' בוקר,2024-12-30 00:00:00,75.0,,7
חניון בית חולים שערי,2024-12-02 00:00:00,30.0,,8
חניון בית חולים שערי,2024-12-06 00:00:00,30.0,,9
מרקט אקספרס,2024-12-02 00:00:00,11.8,,10
מרקט אקספרס,2024-12-06 00:00:00,23.8,,11
המלך בשדה,2024-12-03 00:00:00,19.8,,12
המלך בשדה,2024-12-04 00:00:00,10.8,,13
המלך בשדה,2024-12-09 00:00:00,8.25,,14
bon cafe,2024-12-04 00:00:00,6.0,,15
bon cafe,2024-12-04 00:00:00,21.0,,16
bon cafe,2024-12-19 00:00:00,19.0,,17
פז YELLOW שער -,2024-12-06 00:00:00,245.55,,18
אלינור ביוטי,2024-12-06 00:00:00,80.0,,19
מלון איילנד-צמרת,2024-12-06 00:00:00,100.0,,20
חשבון לשרותי סלקום,2024-12-07 00:00:00,24.78,,21
"טעינות ""חבר"" טעמים",2024-12-07 00:00:00,511.0,,22
"טעינות ""חבר"" טעמים",2024-12-28 00:00:00,244.0,,23
ג?ויה עיר ימים בע?מ,2024-12-07 00:00:00,15.0,,24
העברה בBIT,2024-12-10 00:00:00,56.0,,25
העברה בBIT,2024-12-22 00:00:00,1400.0,,26
העברה בBIT,2024-12-24 00:00:00,400.0,,27
GREENZ,2024-12-12 00:00:00,19.0,,28
GREENZ,2024-12-24 00:00:00,28.0,,29
GREENZ,2024-12-29 00:00:00,14.0,,30
חלום יעקב מנדי קונדי,2024-12-13 00:00:00,105.61,,31
חבר כללי,2024-12-15 00:00:00,149.0,,32
חבר כללי,2024-12-25 00:00:00,8.0,,33
חבר כללי,2024-12-25 00:00:00,1299.0,,34
HARIM בייקרי קרית ענ,2024-12-15 00:00:00,78.0,,35
ספידוג רמת גן,2024-12-18 00:00:00,28.0,,36
פז YELLOW תחנת רשף -,2024-12-19 00:00:00,238.37,,37
WOLT,2024-12-19 00:00:00,105.0,,38
PAYBOX,2024-12-20 00:00:00,125.0,,39
טעינות - חבר של קבע,2024-12-22 00:00:00,60.0,,40
טעינות - חבר של קבע,2024-12-22 00:00:00,120.0,,41
טעינות - חבר של קבע,2024-12-23 00:00:00,420.0,,42
טעינות - חבר של קבע,2024-12-26 00:00:00,88.0,,43
חבר הצגות,2024-12-23 00:00:00,95.0,,44
"אבי לוי הטאבון בע""מ",2024-12-24 00:00:00,10.0,,45
"איקאה ראשל""צ",2024-12-27 00:00:00,4099.0,,46
בי דראגסטורס שיין רא,2024-12-27 00:00:00,39.9,,47
נאייקס ישראל מכונות,2024-12-29 00:00:00,8.0,,48

Summarized Costs
"איקאה ראשל""צ",,4099.0,***Very High***,
העברה בBIT,,1856.0,***Very High***,
חבר כללי,,1456.0,***Very High***,
"טעינות ""חבר"" טעמים",,755.0,*High*,
טעינות - חבר של קבע,,688.0,*High*,
פז YELLOW שער -,,245.55,*High*,
פז YELLOW תחנת רשף -,,238.37,*High*,
חבר מסעדות וא' בוקר,,182.0,Medium,
PAYBOX,,125.0,Medium,
חלום יעקב מנדי קונדי,,105.61,Medium,
WOLT,,105.0,Medium,
מלון איילנד-צמרת,,100.0,Medium,
חבר הצגות,,95.0,Low,
אלינור ביוטי,,80.0,Low,
HARIM בייקרי קרית ענ,,78.0,Low,
GREENZ,,61.0,Low,
חניון בית חולים שערי,,60.0,Low,
bon cafe,,46.0,Low,
בי דראגסטורס שיין רא,,39.9,Low,
המלך בשדה,,38.85,Low,
מרקט אקספרס,,35.6,Low,
ספידוג רמת גן,,28.0,Low,
חשבון לשרותי סלקום,,24.78,Low,
אגאדיר ב.ס.ר בני ברק,,15.0,Low,
ג?ויה עיר ימים בע?מ,,15.0,Low,
"אבי לוי הטאבון בע""מ",,10.0,Low,
נאייקס ישראל מכונות,,8.0,Low,

Total Costs,,,10590.659999999998
